nid,tnid,type,title,field_heading,body,field_headline,language,field_image,field_image_alt,field_image_title,field_hero_image,field_company_logo,field_sub_headline,field_website,field_linkedin_page,field_facebook_page,field_headquarters_address_country,field_headquarters_address,field_headquarters_address_suite,field_headquarters_address_city,field_headquarters_address_state,field_headquarters_address_zip,field_factoring_features_toggle,field_fuel_features_toggle,field_additional_fuel_features,field_agent_type,field_lead_email,field_agent_crm_name,field_agent_user_reference,field_agent_contact_id,field_main_content,user_id,author,created,updated,field_weight,alias_path,promote,status,sticky
546,0,Agent Company,Cellex Consulting Group Inc,Cellex Consulting Group Inc,,Fuel Savings and Factoring Built For Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_16.jpg,,,,https://www.rtsinc.com/sites/default/files/Logo%20Cellex%20white123_0.jpg,"Cellex customers get access to substantial savings on diesel fuel, capital for growth and industry-leading software from RTS Financial.",https://www.cellexconsultinggroup.com/,,https://www.facebook.com/CellExSafetyConsultantsLlc/,United States,2254B Landmeier Road,,Elk Grove Village,Illinois,60007-4765,On,On,,,tnikolova@rtsfinancial.com,0011H00001ncNRVQA2,,,"Large or small, Cellex can help you with back office support for all of your routine filings, safety/compliance audits, log audits and much more. For your convenience, representatives at Cellex speak Bulgarian, Russian, Serbian, Polish, Moldovan, Romanian and of course English. It’s often best to schedule a face-to-face consultation to better understand your needs and mock audit your files. We can work with you by phone, e-mail or fax.",28,wjorgensen,1555019464,1591822470,,/agent-company/cellex-consulting-group-inc/0011h00001ncnrvqa2,1,1,0
668,0,Agent Company,Independent Haulers Association,Independent Haulers Association,,IHA Carriers Save an Average of 25¢ per Gallon,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_4.jpg,,,,https://www.rtsinc.com/sites/default/files/IHA-Original-Size-150x60-dhd.png,"Get significant savings at over 1,800 fuel stations nationwide and access to a variety of other services from our family of brands.",,,,United States,sdf,,sdf,Arizona,33333,Off,On,On,,jholtzapfel@rtscarrierservices.com,0011H00001ncNRVQA2,,,,28,wjorgensen,1561605259,1586461566,,/agent-company/independent-haulers-association,0,1,0
731,0,Agent Company,Trucker's Choice,Trucker's Choice,,Fuel Savings and Factoring Built for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_17.jpg,,,,https://www.rtsinc.com/sites/default/files/truckers-choice-logo.png,"Same-day factoring and a 97% advance rate with no hidden fees. Save 18¢ per gallon on diesel at 1,400 fuel stations.",https://www.truckerschoice.com/,,,United States,"316 South Main Street, PO Box 68",,Inwood,Iowa,51240,On,On,,,wjorgensen@shamrocktradingcorp.com,0011H00001tOQyHQAW,,0031H00002J91diQAB,,28,wjorgensen,1564779700,1610655277,,/agent-company/truckers-choice/0011h00001toqyhqaw,0,1,0
752,0,Agent Company,MVR Check,MVR Check,,"Significant Fuel Savings at 1,500 Fuel Stations For MVF Customers",English,https://www.rtsinc.com/sites/default/files/truck-434ur243543_12.jpg,,,,https://www.rtsinc.com/sites/default/files/cropped-MVR-Logo_New2-1%20%281%29.png,"Save an average of 18¢ per gallon at 1,500 fuel stations nationwide. Use our mobile app to find the best prices, plan routes and manage your fleet.",https://mvrcheck.com/,https://www.linkedin.com/company/mvrcheck.com/about/,,United States,13720 Old St Augustine Rd,Suite 8 - 105,Jacksonville,Florida,32258,Off,On,On,,lziegler@rtscarrierservices.com,,,,,28,wjorgensen,1566506675,1579625496,,/agent-company/mvr-check,1,1,0
763,0,Agent Company,ACW Transport LLC,ACW Transport LLC,,Factoring Services and Fuel Savings for ACW Transport Customers,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_18.jpg,,,,,"Same-day factoring and a 97% advance rate with no hidden fees. Save 18¢ per gallon on diesel at 1,800 fuel stations.",http://www.acwtransportllc.com,,,United States,397 PELLERIN RD,,SUNSET,Louisiana,70584-5317,On,On,,,pyoung@rtscarrierservices.com,,,0031H000026XDaaQAG,,511,pyoung_511,1569943043,1610656193,,/agent-company/acw-transport-llc,1,1,0
804,0,Agent Company,Imperial Haulers LLC,Imperial Haulers LLC,,Invoice Factoring and Fuel Discounts for Imperial Haulers Partners,English,https://www.rtsinc.com/sites/default/files/bg-gray-v3.jpg,,,https://www.rtsinc.com/sites/default/files/truck-3odush_0.jpg,https://www.rtsinc.com/sites/default/files/ih-2huif.jpg,"Same-day factoring and a 97% advance rate with no hidden fees. Save 18¢ per gallon on diesel at 1,550 fuel stations.

",,,,United States,3575 Barkis Ave,,Boynton Beach,Florida,33436,On,On,,,thupfauf@rtscarrierservices.com,0011H00001t5WypQAE,,0031H0000291HSOQA2,,28,wjorgensen,1573071738,1610575876,,/agent-company/imperial-haulers-llc/0011h00001t5wypqae,0,1,0
806,0,Agent Company,R&L Services,R&L Services,,Factoring Services and Fuel Savings for R&L Services Customers,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_20.jpg,,,,https://www.rtsinc.com/sites/default/files/rl-6.jpg,"Same-day factoring and a 97% advance rate with no hidden fees. Save an average of 18¢ per gallon on diesel at 1,550 fuel stations.",,,,United States,"1050 East 2nd Street, #118",,Edmond,Oklahoma,73034,On,On,,,mroberts@rtsfinancial.com,0011H00001wmmmmQAA,,0031H00002Bfk0PQAR,,28,wjorgensen,1573689393,1612215587,,/agent-company/rl-services/0011h00001wmmmmqaa,1,1,0
808,0,Agent Company,AFT Dispatch,AFT Dispatch,,Factoring and Fuel Discounts for AFT Dispatch Customers,English,https://www.rtsinc.com/sites/default/files/bg-gray-v2.jpg,,,https://www.rtsinc.com/sites/default/files/truck-3odush.jpg,https://www.rtsinc.com/sites/default/files/aft-1.jpg,"RTS and AFT Dispatch work together to provide access to factoring and fuel services, helping customers save money and grow their business.

",https://aftdispatch.com/,https://www.linkedin.com/company/american-freight-trucking-inc-/,https://www.facebook.com/AFTDispatch/,United States,291 West 5400 South,Suite 102,Murray,Utah,84107,On,On,,,ksommer@rtscarrierservices.com,,,0031H000025qQNJQA2,,28,wjorgensen,1574124007,1622229221,,/agent-company/aft-dispatch/0011h00001woawvqae,1,1,0
810,0,Agent Company,Simple Truck ELD,Simple Truck ELD,,Factoring and Fuel Discounts for Simple Truck ELD Customers,English,https://www.rtsinc.com/sites/default/files/truck-434ur243543_6.jpg,,,,https://www.rtsinc.com/sites/default/files/Simple%20Truck.PNG,"Same-day factoring and a 97% advance rate. Simple, transparent pricing with no hidden fees. Save an average of 18¢ per gallon on diesel at 1,550 fuel stations.",https://www.simpletruckeld.com/,https://www.linkedin.com/company/simple-truck-eld?trk=ppro_cprof,https://www.facebook.com/SimpleTruckELD,United States,3701 Algonquin Rd,Suite 860,Rolling Meadows,Illinois,60008,On,On,,,bmasters@pro-transport.com,0011H00001woAwvQAE,,,,28,wjorgensen,1574278997,1580235456,,/agent-company/simple-truck-eld/0011h00001woawvqae,1,1,0
811,0,Agent Company,US Compliance Services,US Compliance Services,,Factoring and Fuel Discounts for US Compliance Services Customers,English,https://www.rtsinc.com/sites/default/files/truck-434ur243543_5.jpg,,,,https://www.rtsinc.com/sites/default/files/image001.png,"RTS and Interstate Trucking Consultants have a trusted partnership that provides access to factoring and fuel services, helping customers grow their business.",,,,United States,5420 W Franklin Road,Suite A,Boise,Idaho,83705,On,On,,,brooney@rtsfinancial.com,0011H00001ncFHLQA2,,0031H00002BgpQMQAZ,,28,wjorgensen,1574456525,1612214783,,/agent-company/us-compliance-services/0011h00001ncfhlqa2,1,1,0
816,0,Agent Company,Bumble Bee Dispatch,Bumble Bee Dispatch,,Fuel Savings and Factoring Built for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_37.jpg,,,,https://www.rtsinc.com/sites/default/files/bumblebee.jpg,"Bumble Bee Dispatch customers get access to substantial savings on diesel fuel, capital for growth and industry-leading software from RTS Financial.",https://www.bumblebeedispatch.com,,https://www.facebook.com/bumblebeedispatch/,United States,"289 Jonesboro Road, Ste. 158",,McDonough,Georgia,30253,On,On,,,abeeman@rtsfinancial.com,0011H00001uehv5QAA,,0031H000029zLWdQAM,,27,dhacker,1575990592,1634754680,,/agent-company/bumble-bee-dispatch/0011h00001uehv5qaa,0,0,0
817,0,Agent Company,Western States Trucking Association,Western States Trucking Association,,Factoring and Fuel Discounts for WSTA Members,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_36.jpg,,,,https://www.rtsinc.com/sites/default/files/WSTA.png,"Same-day factoring and a 97% advance rate. Simple, transparent pricing with no hidden fees. Save an average of 18¢ per gallon on diesel at 1,800 fuel stations.",https://westrk.org/,,,United States,334 N Euclid Avenue,,Upland,California,91786,On,On,,,zputnam@rtsfinancial.com,0011H00001ncBwVQAU,,0031H000025Z0zqQAC,,28,wjorgensen,1576167864,1602009305,,/agent-company/western-states-trucking-association/0011h00001ncbwvqau,1,1,0
818,0,Agent Company,Industrial Solutions Logistics,Industrial Solutions Logistics,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_35.jpg,,,,https://www.rtsinc.com/sites/default/files/IS_Logistics_logo_lg.png,"Same-day factoring and a 97% advance rate. Simple, transparent pricing with no hidden fees. Save an average of 18¢ per gallon on diesel at 1,800 fuel stations.",http://industrialsolutionslogistics.com/,,,United States,8499 W 91st Avenue,,Saint John,Indiana,46373,On,On,,,avillegas@rtscarrierservices.com,0011H00001vbRziQAE,,0031H00002AYJtVQAX,,28,wjorgensen,1576187802,1610576317,,/agent-company/industrial-solutions-logistics/0011h00001vbrziqae,1,1,0
819,0,Agent Company,Prospect Licensing & Consulting,Prospect Licensing & Consulting,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_34.jpg,,,,https://www.rtsinc.com/sites/default/files/logo1224530_md.jpg,"Same-day factoring and a 97% advance rate. Simple, transparent pricing with no hidden fees. Save an average of 18¢ per gallon on diesel at 1,800 fuel stations.",http://www.prospectlicensing.com/,https://www.linkedin.com/in/vessela-barzeva-621b6513/,https://www.facebook.com/prospectlicensing/,United States,605 E Algonquin Road,#230,Arlington Heights,Illinois,60005,On,On,,,sdaskalov@rtscarrierservices.com,0011H00001nbyitQAA,,0031H000025rPirQAE,,28,wjorgensen,1576269772,1602009354,,/agent-company/prospect-licensing-consulting/0011h00001nbyitqaa,1,1,0
821,0,Agent Company,CDL Legal,CDL Legal,,Factoring and Fuel Discounts for CDL Legal Customers,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_33.jpg,,,,https://www.rtsinc.com/sites/default/files/cdl-legal.png,"RTS and CDL Legal work together to provide access to factoring and fuel services, helping customers save money and grow their business.",http://www.cdllegal.com/,https://www.linkedin.com/company/cdllegal,https://www.facebook.com/Cdllegalplan/,United States,27585 W. 83rd Street,,Lenexa,Kansas,66227,On,On,On,,tputnam@rtscarrierservices.com,0011H00001vvqhUQAQ,,0031H00002BEaonQAD,,28,wjorgensen,1576528256,1619731889,,/agent-company/cdl-legal/0011h00001vvqhuqaq,1,1,0
822,0,Agent Company,Wright Lane LLC,Wright Lane LLC,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_21.jpg,,,,https://www.rtsinc.com/sites/default/files/blackwrightlaneD.png,"RTS and Wright Lane LLC have a trusted partnership that provides access to fuel and factoring services, helping customers grow their business.",https://www.wrightlanellc.com/index.html,,,United States,2335 Gravel Drive,,Fort Worth,Texas,76118,On,On,On,Shared Agent,abeeman@rtsfinancial.com,,,0031H00002CeWZaQAN,,30,balthoff,1576529571,1673556741,,/agent-company/wright-lane-llc/0011h00001xtv1jqae,1,1,0
823,0,Agent Company,Caps Dispatching Service,Caps Dispatching Service,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_22.jpg,,,,https://www.rtsinc.com/sites/default/files/caps_logo.png,"RTS and Caps Dispatching Service have a trusted partnership that provides access to factoring and fuel services, helping customers grow their business.",https://dispatchmytrucks.com/,,,United States,PO Box 111841,,Houston,Texas,77293,On,On,Off,,abeeman@rtsfinancial.com,0011H00001xGGPZQA4,,0031H00002AYoDwQAL,,30,balthoff,1577978042,1610637175,,/agent-company/caps-dispatching-service/0011h00001xggpzqa4,0,1,0
824,0,Agent Company,North American HotShot Trucking Association,North American HotShot Trucking Association,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_23.jpg,,,,https://www.rtsinc.com/sites/default/files/NAHSTA%20Logo%20100.PNG,"RTS and North American HotShot Trucking Association have a trusted partnership that provides access to fuel and factoring services, helping customers grow their business.",https://www.nahsta.org/,,,United States,6450 West Pike,,Zanesville,Ohio,43701,Off,On,On,,mbatterson@rtscarrierservices.com,0011H00001xEuSnQAK,,0031H00002Bin1IQAR,,30,balthoff,1577997776,1602009472,,/agent-company/north-american-hotshot-trucking-association/0011h00001xeusnqak,0,1,0
825,0,Agent Company,FLQ Transportation Group,FLQ Transportation Group,,Factoring and Fuel Discounts for Trucking Companies,English,https://www.rtsinc.com/sites/default/files/RTS%20Agent%20Page_32.jpg,,,,https://www.rtsinc.com/sites/default/files/flq.jpg,"RTS and FLQ Transportation Group have a trusted partnership that provides access to fuel and factoring services, helping customers grow their business.",http://WWW.FREELOADQUOTE.COM,,,United States,202 W Edgerton,,Hicksville,Ohio,43526,On,On,,,glombard@rtscarrierservices.com,0011H00001nbk5xQAA,,,,30,balthoff,1578319979,1591881016,,/agent-company/flq-transportation-group/0011h00001nbk5xqaa,0,1,0
