nid,tnid,type,title,field_heading,body,field_featured_article,field_category,field_global_taxonomy,field_headline,language,fid,filename,field_image,field_image_alt,field_image_title,field_sub_headline,user_id,author,created,field_weight,alias_path,promote,status,sticky,field_hero_agent_toggle,field_hero_contact_toggle,field_hero_contact_toggle_es,field_hero_modal_toggle,shamrock_user,landing_page_categories,admin_description
42,0,Landing Page,More Than 25 Years of Providing Same-Day Cash for Trucking Companies,More Than 25 Years of Providing Same-Day Cash for Trucking Companies,"<h2 class=""subheading-left first"">Highlights of Our Factoring Services</h2>

<p>By focusing on our clients and their business needs, we have created a better factoring experience. Here is what you can expect when you work with RTS Financial:</p>

<ul class=""super-list"">
	<li>Same-day funding</li>
	<li>25+ years of factoring experience</li>
	<li>Save an average of 25¢ per gallon with our fuel card program</li>
	<li>Competitive advance rates</li>
	<li>Free collections and credit analysis</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,"Our factoring services feature same-day funding, competitive advance rates and average fuel card savings of 25¢ per gallon.

",1,admin,1386946000,,/lp/trucking-factoring-services,1,1,0,,,,,,,
43,0,Landing Page,Turn Your Invoices into Same-Day Cash with Factoring,Turn Your Invoices into Same-Day Cash with Factoring,"<p>When cash flow becomes a challenge, it makes sense to get paid faster. RTS Financial provides unique, customized financial solutions that help you manage operating expenses for an active oilfield without taking on debt.</p>

<ul class=""super-list"">
	<li>Same-day funding with no hidden fees</li>
	<li>25+ years of factoring experience</li>
	<li>Competitive advance rates</li>
	<li>Back-office support, credit analysis and your own dedicated customer representative</li>
	<li>Fuel card with credit lines and leading discounts</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,Get more working capital for your oilfield services company. Receive same-day funding with competitive advance rates and no hidden fees.,1,admin,1386947478,,/lp/oilfield-services-factoring,1,1,0,,,,,,,
51,0,Landing Page,Turn Invoices into Same-Day Capital with Factoring,Turn Invoices into Same-Day Capital with Factoring,"<p class=""first gray"">Waiting 30, 60 and sometimes 90 days for customer payments can put a great deal of stress on your cash flow. By factoring with RTS Financial, you can build up more working capital to pay vendors, meet customer demands and grow your company.</p>

<h2 class=""subheading-left"">Highlights of Our Factoring Services</h2>

<div class=""view view-factoring-features view-id-factoring_features view-display-id-default features-list-1 view-dom-id-d5f758e8c3cf4949bda5c4fddc948dac contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/factoring_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Same-Day Funding</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Our representatives work hard to make sure you get paid within 24 hours.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Competitive Advance Rates</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get more of your money with industry-leading advance rates and scalable funding options.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Hidden Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Including no ACH fees and no invoice-uploading fees.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Fuel Card Program</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get substantial savings at over 2,000 locations nationwide and credit lines of up to $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Upload Invoices Online</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">An easy-to-use mobile and web app lets you upload invoices and manage your account online.</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Discounts for U.S. Veterans</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">We proudly support our service members! All new RTS factoring customers who served in the U.S. military are eligible for additional savings.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>

<ul class=""md-list hide"">
<li>Same-day funding</li>
<li>20-plus years of factoring experience</li>
<li>As much as 97% advanced on each invoice</li>
<li>Free collections and credit analysis</li>
<li>Fuel card with credit lines and leading discounts</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,Stop waiting weeks for customer payments. Get cash on your receivables within 24 hours by factoring with RTS Financial.,1,admin,1390235519,,/lp/factoring-general,1,1,0,,,,,,,
90,0,Landing Page,Your Complete Guide To Factoring,Your Complete Guide To Factoring,"<img style=""float: left; margin: 0 30px 45px 0; max-width: 240px !important;"" src=""http://www.rtsfinancial.com/sites/default/files/Your%20Complete%20Guide%20to%20Factoring%20cover.png"" />

<p class=""medium"">For many companies, factoring (also known as ""accounts receivable financing"") is an effective way to build up cash flow immediately instead of waiting weeks for customer payments. This free guide from RTS Financial provides an in-depth review of how factoring works, what you should look for in a factoring company, and how factoring can help you improve and expand your business.</p>

<h2 style=""clear: left;"">What's in The Complete Guide to Factoring?</h2>

<ul>
<li>What Is Factoring?</li>
<li>The Six Most Common Myths about Factoring</li>
<li>A Brief History of Factoring (Accounts Receivable Financing)</li>
<li>When To Start Factoring</li>
<li>The Difference between Recourse and Non-Recourse Factoring</li>
<li>Important Questions to Ask A Factoring Company</li>
<li>How Factoring Can Help Your Company Grow</li>
<li>A Tale of Two Companies, and How Both Benefited from Factoring</li>
</ul>




",,,,,English,,,,,,"Download this free guide to learn how factoring receivables can fuel the growth of your company. 
",1,admin,1398975576,,/lp/your-complete-guide-factoring,1,1,0,,,,,,,
143,0,Landing Page,Agent Referral Submission Form,Agent Referral Submission Form,"<p>Fill out the form below to share a factoring referral or a lead with the RTS Financial sales team. Please provide as much information as you can about your referral. We will contact you shortly if we have additional questions.</p>

<form class=""webform body-form"" id=""factoringForm"" name=""factoringForm"" enctype=""multipart/form-data"" action=""http://analytics.clickdimensions.com/forms/h/aq71PF8WgfEiyk2unJ6u2Q"" method=""post"" onsubmit=""return validateForm();"" accept-charset=""UTF-8"">

<h2 style=""font-family: 'open sans', arial, sans-serif; font-weight: 400;"">Lead Information</h2>

<div class=""form-item"">
  <input type=""text"" id=""txtFirstName"" name=""txtFirstName"">
  <span class=""bar""></span>
  <label for=""txtFirstName"">First Name</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtCompanyName"" name=""txtCompanyName"">
  <span class=""bar""></span>
  <label for=""txtCompanyName"">Company</label>
</div>
<div class=""form-item"">
  <input type=""email"" class=""email"" id=""emailEmail"" name=""emailEmail"">
  <span class=""bar""></span>
  <label for=""emailEmail"">Email</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtphonenumber"" name=""txtphonenumber"">
  <span class=""bar""></span>
  <label for=""txtphonenumber"">Phone</label>
</div>


<div class=""form-item"" style=""margin-bottom: 32px;"">
<select id=""moneyMonthlyVolume"" name=""moneyMonthlyVolume"">
<option value="""" selected=""selected""></option>
<option value=""15000"">$0 - $30,000</option>
<option value=""60000"">$31,000 - $100,000</option>
<option value=""175000"">$101,000 - $250,000</option>
<option value=""500000"">$251,000 - $1,000,000</option>
<option value=""2000000"">More Than $1,000,000</option>
</select>
<label for=""moneyMonthlyVolume"">Monthly Sales</label>
</div>

<div class=""form-item"">
  <input type=""text"" id=""intNumberOfTrucks"" name=""intNumberOfTrucks"">
  <span class=""bar""></span>
  <label for=""intNumberOfTrucks"">Number of Trucks</label>
</div>

<div class=""form-item"">
  <input type=""text"" id=""txtMCNumber"" name=""txtMCNumber"">
  <span class=""bar""></span>
  <label for=""txtMCNumber"">MC Number</label>
</div>

<h2 style=""font-family: 'open sans', arial, sans-serif; font-weight: 400; border-top: 1px solid #ccc; padding-top: 25px; margin-top: 60px;"">Agent Information</h2>

<div class=""form-item"" style=""margin-bottom: 50px;"">
  <input type=""text"" id=""txtAgentName"" name=""txtAgentName"">
  <label for=""txtAgentName"">Agent Name (First & Last)</label>
</div>


<input type=""hidden"" id=""selectTopicOfInterest"" name=""selectTopicOfInterest"" value=""956380000"">
<input type=""hidden"" id=""selectInternalWebsite"" name=""selectInternalWebsite"" value=""956380000"">
<input type=""hidden"" id=""selectLeadSource"" name=""selectLeadSource"" value=""956380001"">
<input type=""hidden"" id=""txtCampaign"" name=""txtCampaign"" value=""agent webform"">


<div class=""btn blue-solid"">
	<input type=""submit"" id=""edit-submit"" name=""op"" value=""Get Started"" class=""form-submit"">
</div>
</form>

",,,,,English,,,,,,,1,admin,1426178329,,/lp/agent-referral-form,1,1,0,,,,,Matt M,,General lead form for agents
167,0,Landing Page,More Than 25 Years of Providing Same-Day Funding for Trucking Companies,More Than 25 Years of Providing Same-Day Funding for Trucking Companies,"<h2>Highlights of Our Factoring Services</h2>

<p>By focusing on our clients and their business needs, we have created a better factoring experience. Here is what you can expect when you work with RTS Financial:</p>

<ul class=""super-list"">
	<li>Funding within 24 hours</li>
	<li>Over 25 years of factoring experience</li>
	<li>Industry-leading, competitive advance rates</li>
	<li>Free collections and credit analysis</li>
	<li>Fuel discounts at over 2,000 locations nationwide</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,"Our factoring services feature same-day funding, competitive advance rates and no hidden fees.",1,admin,1438780891,,/lp/factoring-trucking-b,1,1,0,,,,,,,
173,0,Landing Page,"RTS Financial Offers Fast, Flexible Funding Solutions ","RTS Financial Offers Fast, Flexible Funding Solutions ","<p class=""first"">Waiting 30, 60 and sometimes 90 days on customer receivables can put a great deal of stress on your cash conversion cycle. But what if you could receive payment on the same day?</p>

<p>GT Nexus has been working with RTS Financial to create an early payment process for suppliers transacting on the GT Nexus platform. RTS Financial offers payment solutions that advance cash on your invoices within 24 hours, allowing your company to access cash flow and grow at a faster pace.</p>

<h2 style=""margin-bottom: 40px;"">Key benefits of working with RTS Financial include:</h2>

<div class=""one-col"">

<div class=""col-box"">
<div class=""col-box-inner"">
<h3>Competitive Rates</h3>
<p>Highly competitive advance rates with no hidden fees.</p>
</div>
</div>

<div class=""col-box"">
<div class=""col-box-inner"">
<h3>Outstanding Service</h3>
<p>Free customer collections, invoicing and other back-office support. </p>
</div>
</div>

<div class=""col-box"">
<div class=""col-box-inner"">
<h3>Easy Activation</h3>
<p>Easy application and set-up process.</p>
</div>
</div>

<div class=""col-box"">
<div class=""col-box-inner"">
<h3>No Debt</h3>
<p>Debt-free, scalable funding that supports seasonal growth.</p>
</div>
</div>

</div>
",,,,,English,,,,,,Stop waiting for customer payments. Get cash on your receivables within 24 hours by financing with RTS Financial.,1,admin,1443805048,,/lp/factoring-general-bc,1,1,0,,,,,,,"Landing page doesn't mention ""factoring.""  Used in cases involving factoring averse prospects."
201,0,Landing Page,How to Start a Trucking Company,How to Start a Trucking Company,"<h2 class=""margin-top-0"">Guide Summary</h2>

<p>While trucking is a rapidly growing industry, owning and operating a trucking fleet requires careful planning, dedication, and hard work. This series of blogs from RTS Financial is a concise, comprehensive resource for understanding everything involved in getting your authority and breaking into the business.</p>

<h2>Table of Contents</h2>

<ul class=""super-list"">
	<li><a href=""https://www.rtsinc.com/guides/industry-overview"">Industry Overview</a></li>
	<li><a href=""https://www.rtsinc.com/articles/how-write-business-plan-your-trucking-company"">Your First Step: Have a Plan</a></li>
	<li><a href=""http://www.rtsinc.com/guides/license-and-permit-checklist-starting-trucking-company"">Your Checklist for </a><a href=""https://www.rtsinc.com/guides/license-and-permit-checklist-starting-trucking-company"">Trucking Licenses and Permits</a></li>
	<li><a href=""https://www.rtsinc.com/articles/dictionary-trucking-terms"">Trucking Terms You Should Know</a></li>
	<li><a href=""https://www.rtsinc.com/guides/finding-right-insurance-your-trucking-company"">Finding the Right Insurance</a><a href=""http://www.rtsinc.com/guides/finding-right-insurance-your-trucking-company""> for Your Trucking Company</a></li>
	<li><a href=""https://www.rtsinc.com/guides/fuel-discounts-and-other-ways-save-money"">Fuel Discounts and Other Ways to Save Money</a></li>
	<li><a href=""https://www.rtsinc.com/guides/why-leasing-might-be-best-way-build-your-fleet"">Why Leasing Might Be the Best Way to Build Your Fleet</a></li>
	<li><a href=""https://www.rtsinc.com/articles/top-five-load-boards-every-trucker-should-know"">The Five Best Load Boards</a></li>
</ul>
",,,,,English,,,,,,Everything you need to know to gain authority and get your trucking company off to a solid start.,1,admin,1454511456,,/lp/how-start-trucking-company,1,1,0,,,,,Webster,,Guide download page
222,0,Landing Page,Factoring for Staffing Companies,Factoring for Staffing Companies,"<p class=""first"">Factoring with RTS Financial is a great way to build up your staffing company's cash flow and expand your business. Instead of waiting 30 to 60 days on customer payments, you can receive as much as 97% on your receivables from us within one day. This boost in working capital makes it easier to make payroll, pay vendors, meet customer demands and grow your company.</p>

<h2 class=""subheading-left"">Highlights of Our Factoring Services</h2>

<ul class=""super-list"">
<li>Same-day funding</li>
<li>Competitive advance rates</li>
<li>Outstanding customer service</li>
<li>Free collections and credit analysis</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>

<h2>Professional Factoring and Superior Service</h2>

<p>Our representatives have more than two decades of factoring experience serving a range of industries, including staffing agencies. RTS Financial will put its knowledge to work in providing a financial solution that meets your business needs. In addition to factoring, RTS Financial handles customer collections and other back-office support, allowing you to focus more on serving your customers. Your transactions are confidential and can be accessed online through our secured customer login.</p>",,,,,English,,,,,,Eliminate the long wait for payment by receiving same-day cash on your receivables from RTS Financial.,1,admin,1462809094,,/lp/factoring-staffing,1,1,0,,,,,Webster,,
223,0,Landing Page,Payroll Factoring,Payroll Factoring,"<p class=""first"">Paying your employees can be a challenge when you have to wait 30 to 60 days, or even longer, on customer payments. When you work with RTS Financial, we offer you industry-leading advance rates on your receivables. This boost in working capital makes it easier to meet payroll, serve your customers and even expand your business.</p>

<h2 class=""subheading-left"">Highlights of Our Factoring Services</h2>

<p>By focusing on our clients and their business needs, we have created a better factoring experience. Here is what you can expect when you work with RTS Financial:</p>

<ul class=""super-list"">
	<li>Same-day funding</li>
	<li>25+ years of factoring experience</li>
	<li>Highly competitive rates</li>
	<li>Free collections and credit analysis</li>
	<li>Fuel card with credit lines and leading discounts</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
</ul>

<h2>Professional Factoring and Superior Service</h2>

<p>Our representatives have more than two decades of factoring experience serving a range of industries. RTS Financial will put its knowledge to work in providing a financial solution that meets your business needs. In addition to factoring, RTS Financial handles collections and other back-office support, allowing you to focus more on serving your customers. Your transactions are confidential and can be accessed online through our secured customer login.</p>
",,,,,English,,,,,,Stop waiting weeks for customer payments. Get cash on your receivables within 24 hours by factoring with RTS Financial.,1,admin,1462809180,,/lp/payroll-factoring,1,1,0,,,,,,,
