nid,tnid,type,title,field_heading,body,field_featured_article,field_category,field_global_taxonomy,field_headline,language,fid,filename,field_image,field_image_alt,field_image_title,field_sub_headline,user_id,author,created,updated,field_weight,alias_path,promote,status,sticky,field_hero_agent_toggle,field_hero_contact_toggle,field_hero_contact_toggle_es,field_hero_modal_toggle
52,0,Thank You,Thank You For Contacting Us,Thank You For Contacting Us,"<p class=""lg-sans mw-lg"">Thank you for contacting RTS Financial. One of our representatives will be in touch with you shortly.</p>

",,,,,English,,,,,,,1,admin,1390244903,1661308129,,/thank-you/thank-you-contacting-us,1,1,0,,,,
70,0,Thank You,Thank You For Contacting Us,Thank You For Contacting Us,"<p class=""lg-sans"">We have received you request for information about our fuel card program. A representative will contact you shortly to provide more details.</p>",,,,,English,,,,,,,1,admin,1391619230,1661308129,,/thank-you/thank-you-fuel-card,1,1,0,,,,
82,0,Thank You,Thank You For Subscribing,Thank You For Subscribing,"<p class=""xl-sans"" style=""line-height: 1.6em"">We appreciate your interest in our articles and resources. In the future, you will receive email updates when we publish new articles, guides and resources.</p>",,,,,English,,,,,,,1,admin,1394572052,1661308129,,/thank-you/thank-you-subscribe,1,1,0,,,,
83,0,Thank You,Thank You For Your Interest in Our Content,Thank You For Your Interest in Our Content,"<p class=""subheading1 margin-bottom-40"">The links below provide access to all of our content and guides.</p>

<div class=""btn blue-outline margin-bottom-40"">
  <a href=""/sites/default/files/Your%20Complete%20Guide%20to%20Factoring%20web.pdf"">The Complete Guide to Factoring</a>
</div>

<div class=""btn blue-outline"">
  <a href=""/sites/default/files/RTS%20Carrier%20Services%20Fuel%20Savings%20Guide%20-%20Web.pdf"">The Complete Guide to Fuel Savings</a>
</div>
",,,,,English,,,,,,,1,admin,1394572182,1661308129,,/thank-you/content-download,1,1,0,,,,
95,0,Thank You,Thank You For Calling,Thank You For Calling,,,,,,English,,,,,,,1,admin,1401802198,1661308129,,/thank-you/thank-you-call,1,1,0,,,,
140,0,Thank You,Thank You for Your Interest,Thank You for Your Interest,Thank you for contacting RTS Financial about our agent program. A representative will contact you shortly with more information.,,,,,English,,,,,,,1,admin,1425046314,1661308129,,/thank-you/thank-you-agent,1,1,0,,,,
144,0,Thank You,Lead Submission Successful,Lead Submission Successful,"We have received your lead and a representative will contact them shortly. 

<strong><a href=""/lp/agent-referral-form"">Click here to return to form and submit another lead.</a></strong>",,,,,English,,,,,,,1,admin,1426180925,1661308129,,/thank-you/lead-submission-successful,1,1,0,,,,
311,0,Thank You,Thank You For Your Interest in Our Software,Thank You For Your Interest in Our Software,"<p class=""xl-sans"">A representative will contact you shortly to give you more information about ProTransport trucking software.</p>",,,,,English,,,,,,,1,admin,1502727394,1502727394,,/thank-you/protransport,1,1,0,,,,
511,0,Thank You,Thank You,Thank You,"<p class=""subheading2"">We have received your information and an RTS representative will contact you soon. Thank you for your interest in RTS. In the meantime, check out these additional resources:</p>

<ul>
<li><a href=""/page/blog"">Insights from RTS</a>
<li><a href=""/articles/5-things-watch-out-when-choosing-factoring-company"">5 Things to Watch Out For When Choosing a Factoring Company</a></li>
<li><a href=""/articles/eight-reasons-why-truckers-love-our-fuel-card"">Why Truckers Love Our Fuel Card</a></li>
<li><a href=""/articles/how-find-right-dispatch-software-your-trucking-company"">How to Find The Right Dispatch Software</a></li>
</ul>",,,,,English,,,,,,,28,wjorgensen,1553050289,1588014945,,/thank-you/agent-lead,1,1,0,,,,
1135,0,Thank You,Thank You,Thank You,"<style type=""text/css"">
<!--/*--><![CDATA[/* ><!--*/
body {  min-height: 100vh; }

/*--><!]]>*/
</style>
<p class=""subheading1 margin-bottom-40"">A representative will contact you soon to answer your questions about our fuel card, factoring services and software.</p>

<h2>Insights from RTS</h2>

<p>Check out these popular articles from our blog:</p>

<ul>
	<li><a href=""/articles/what-expect-dot-brake-inspection"">What to Expect with a DOT Brake Inspection</a></li>
	<li><a href=""/articles/what-are-driver-qualification-files"">What Are DOT Driver Qualification Files?</a></li>
	<li><a href=""/articles/5-things-watch-out-when-choosing-factoring-company"">5 Things to Watch Out For When Choosing a Factoring Company</a></li>
	<li><a href=""/guides/difference-between-recourse-and-non-recourse-factoring"">The Difference Between Recourse and Non-Recourse Factoring</a></li>
	<li><a href=""/articles/how-find-right-dispatch-software-your-trucking-company"">How to Find The Right Dispatch Software</a></li>
</ul>
",,,,Thank You For Your Interest In Our Services,English,,,,,,,28,wjorgensen,1593033215,1647362636,,/thank-you/multiple-services,1,1,0,,,,
1692,0,Thank You,Thank You,Thank You,"<p>Thank you for your interest in the RTS Mixed Fleet fuel card. A representative will reach out shortly. In the meantime, if you'd like to learn more about additional services from our family of brands, visit <a href=""http://www.rtsinc.com."">www.rtsinc.com</a>.</p>
",,,,,English,,,,,,,31,dschneider,1657553811,1664564221,,/thank-you/RTS-mixed-fleet-ad,1,1,0,,,,
1717,0,Thank You,Thank You,Thank You,"<p>Thank you for your interest in the RTS fuel card. A representative will reach out shortly. In the meantime, if you'd like to learn more about additional services from our family of brands, visit <a href=""https://www.rtsinc.com"">www.rtsinc.com</a>.</p>
",,,,,English,,,,,,,31,dschneider,1664564203,1664564265,,/thank-you/RTS-fuel-card-ad,1,1,0,,,,
